dbn,school_name,boro,total_students
01M292,Henry Street School for International Studies,Manhattan,323
01M448,University Neighborhood High School,Manhattan,299
01M450,East Side Community School,Manhattan,649
01M509,Marta Valle High School,Manhattan,401
01M539,"New Explorations into Science, Technology and Math High School",Manhattan,1725
01M696,Bard High School Early College,Manhattan,560
02M047,47 The American Sign Language and English Secondary School,Manhattan,184
02M135,The Urban Assembly School for Emergency Management,Manhattan,116
02M139,Stephen T. Mather Building Arts & Craftsmanship High School,Manhattan,85
02M260,M.S. 260 Clinton School Writers & Artists,Manhattan,266
02M280,Manhattan Early College School for Advertising,Manhattan,0
02M282,Urban Assembly Maker Academy,Manhattan,0
02M288,Food and Finance High School,Manhattan,443
02M294,Essex Street Academy,Manhattan,349
02M296,High School of Hospitality Management,Manhattan,431
02M298,Pace High School,Manhattan,421
02M300,"Urban Assembly School of Design and Construction, The",Manhattan,427
02M303,"Facing History School, The",Manhattan,417
02M305,"Urban Assembly Academy of Government and Law, The",Manhattan,326
02M308,Lower Manhattan Arts Academy,Manhattan,362
02M316,"Urban Assembly School of Business for Young Women, the",Manhattan,412
02M374,Gramercy Arts High School,Manhattan,548
02M376,NYC iSchool,Manhattan,433
02M392,MANHATTAN BUSINESS ACADEMY,Manhattan,426
02M393,BUSINESS OF SPORTS SCHOOL,Manhattan,420
02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,Manhattan,358
02M400,High School for Environmental Studies,Manhattan,1312
02M407,Institute for Collaborative Education,Manhattan,468
02M408,Professional Performing Arts High School,Manhattan,512
02M411,Baruch College Campus High School,Manhattan,439
02M412,N.Y.C. Lab School for Collaborative Studies,Manhattan,599
02M413,School of the Future High School,Manhattan,715
02M414,N.Y.C. Museum School,Manhattan,462
02M416,Eleanor Roosevelt High School,Manhattan,531
02M418,Millennium High School,Manhattan,619
02M419,Landmark High School,Manhattan,396
02M420,High School for Health Professions and Human Services,Manhattan,1706
02M422,Quest to Learn,Manhattan,478
02M425,Leadership and Public Service High School,Manhattan,685
02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,Manhattan,312
02M432,Murray Hill Academy,Manhattan,305
02M437,Hudson High School of Learning Technologies,Manhattan,462
02M438,International High School at Union Square,Manhattan,339
02M439,Manhattan Village Academy,Manhattan,414
02M449,Vanguard High School,Manhattan,469
02M459,Manhattan International High School,Manhattan,331
02M475,Stuyvesant High School,Manhattan,3292
02M489,High School of Economics and Finance,Manhattan,767
02M500,Unity Center for Urban Technologies,Manhattan,255
02M507,Urban Assembly Gateway School for Technology,Manhattan,367
02M519,Talent Unlimited High School,Manhattan,530
02M520,Murry Bergtraum High School for Business Careers,Manhattan,1466
02M529,Jacqueline Kennedy Onassis High School,Manhattan,709
02M531,Repertory Company High School for Theatre Arts,Manhattan,236
02M533,Union Square Academy for Health Sciences,Manhattan,223
02M534,Harvest Collegiate High School,Manhattan,232
02M542,Manhattan Bridges High School,Manhattan,552
02M543,New Design High School,Manhattan,439
02M545,High School for Dual Language and Asian Studies,Manhattan,410
02M546,Academy for Software Engineering,Manhattan,241
02M551,Urban Assembly New York Harbor School,Manhattan,439
02M580,Richard R. Green High School of Teaching,Manhattan,593
02M600,The High School of Fashion Industries,Manhattan,1732
02M605,Humanities Preparatory Academy,Manhattan,210
02M615,Chelsea Career and Technical Education High School,Manhattan,443
02M630,Art and Design High School,Manhattan,1438
02M655,Life Sciences Secondary School,Manhattan,771
03M299,"High School for Arts, Imagination and Inquiry",Manhattan,435
03M307,"Urban Assembly School for Media Studies, The",Manhattan,387
03M402,The Urban Assembly School for Green Careers,Manhattan,395
03M403,The Global Learning Collaborative,Manhattan,480
03M415,Wadleigh Secondary School for the Performing & Visual Arts,Manhattan,531
03M417,FRANK McCOURT HIGH SCHOOL,Manhattan,373
03M479,Beacon High School,Manhattan,1276
03M485,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,Manhattan,2730
03M492,"High School for Law, Advocacy and Community Justice",Manhattan,531
03M494,High School of Arts and Technology,Manhattan,588
03M541,Manhattan / Hunter Science High School,Manhattan,460
03M859,Special Music School,Manhattan,191
03M860,Frederick Douglass Academy II Secondary School,Manhattan,429
04M372,ESPERANZA PREPARATORY ACADEMY,Manhattan,424
